Sr_No,Code,Beneficiary_Bank,Total_Txns,CB_Ratio_Pct,CB_Received,Representment_Raised,CB_Accepted
349,SSB,Sampada Sahakari Bank Ltd Pune,67926,0.0000,0,0,0
350,SUJ,Shri Bharat Urban Co-Operative Bank Ltd,67921,0.0030,2,2,0
351,VJS,Vasai Janata Sahakari bank Ltd,67857,0.0010,1,1,0
352,AGU,The Agrasen Co-Operative Urban Bank Ltd,65729,0.0000,0,0,0
353,BMS,BRAHMADEODADA MANE SAHAKARI BANK LTD SOLAPUR,65445,0.0020,1,0,1
354,KDG,The Kodungallur Town Co Operative Bank Ltd,64228,0.0000,0,0,0
355,MHN,Mahanagar Nagrik Sahakari Bank Maryadit,63735,0.0020,1,1,0
356,BHD,The Bharuch District Central Coop Bank Ltd,62640,0.0000,0,0,0
357,VSD,VALSAD DISTRICT CENTRAL CO OPERATIVE BANK LTD,62308,0.0000,0,0,0
358,KCT,The Kakinada Co-operative Town Bank Ltd,62110,0.0000,0,0,0
359,KBC,Kotak Mahindra Bank Credit Card,62110,0.0000,0,0,0
360,AAC,Akhand Anand Co-op Bank Ltd,61571,0.0000,0,0,0
361,TCC,THANJAVUR DISTRICT CENTRAL COOPERATIVE BANK,61479,0.0000,0,0,0
362,ZLK,Zila Sahakari Bank Ltd Lakhimpur Kheri,61152,0.0050,3,3,0
363,SMS,Samata Sahakari Bank Ltd,60901,0.0000,0,0,0
364,CZN,Citizen Cooperative Bank Ltd,60874,0.0000,0,0,0
365,RDC,The Raichur District Central Coop Bank Ltd,60771,0.0000,0,0,0
366,SRV,The Sarvodaya Nagarik Sahakari Bank Ltd,60592,0.0050,3,3,0
367,JMS,JIJAMATA MAHILA SAHAKARI BANK LTD,59509,0.0000,0,0,0
368,AHS,AHMEDNAGAR SHAHAR SAHAKARI BANK MARYADIT,59206,0.0000,0,0,0
369,NMB,Navi Mumbai Co-operative Bank Ltd,58792,0.0000,0,0,0
370,SGM,Shri Gajanan Maharaj Urban Co-op Bank Ltd Bhokardan,58369,0.0000,0,0,0
371,BHV,BHAVNA RISHI CO OPERATIVE URBAN BANK LTD,58300,0.0050,3,3,0
372,RCB,Rajadhani Co Op Urban Bank Ltd,58073,0.0020,1,1,0
373,INC,Indrayani Cooperative Bank Ltd,57358,0.0020,1,1,0
374,RZS,RAMPUR ZILA SAHKARI BANK LTD,57048,0.0000,0,0,0
375,MRS,MADHYA PRADESH RAJYA SAHAKARI BANK MARYADIT,56829,0.0000,0,0,0
376,DAP,Dapoli Urban Cooperative Bank Ltd,56603,0.0000,0,0,0
377,BEB,The Business Co Operative Bank Ltd,56479,0.0050,3,3,0
378,SAC,Shri Arihant Co-Op Bank Ltd,55461,0.0050,3,3,0
379,SCC,SIVAGANGAI DISTRICT CENTRAL COOPERATIVE BANK,54880,0.0000,0,0,0
380,NSN,NANDANI SAHAKARI BANK LTD NANDANI,53516,0.0000,0,0,0
381,THD,THOOTHUKUDI DISTRICT CENTRAL COOPERATIVE BANK,53037,0.0000,0,0,0
382,JUC,Jankalyan urban Co-Operative Maryadit Kallam,53004,0.0020,1,0,1
383,BLT,Balotra Urban Co operative Bank Ltd,52921,0.0000,0,0,0
384,DHS,The Davangere Harihar Urban Sahakara Bank Niyamitha,52640,0.0000,0,0,0
385,GDH,The Godhra Urban Cooperative Bank Ltd,52420,0.0000,0,0,0
386,DBL,The Dhanbad Central Cooperative Bank Ltd,51946,0.0000,0,0,0
387,TLC,The Latur Urban Coop Bank Ltd Latur,51869,0.0000,0,0,0
388,VSM,Sri Vasavamba Co-Op Bank Ltd,51556,0.0020,1,1,0
389,UUB,The Udaipur Urban Co-Operative Bank Ltd,51505,0.0000,0,0,0
390,TKR,The Kranthi Co-Operative Urban Bank Ltd,51194,0.0020,1,0,1
391,BAN,The Bangalore City Co-Operative Bank Limited,50651,0.0000,0,0,0
392,SCM,Siddheshwar Urban Coop Bank Maryadit Sillod,50644,0.0020,1,1,0
393,KCC,THE KODAGU DISTRICT CO-OP CENTRAL BANK LTD,49975,0.0000,0,0,0
394,MCL,Maratha Co-operative Bank Ltd,49660,0.0000,0,0,0
395,UBS,URBAN CO OPERATIVA BANK LTD SIDDHARTHNAGAR,49288,0.0000,0,0,0
396,SKU,S S L S A Kurundwad Urban Bank Ltd,49236,0.0020,1,1,0
397,UMB,THE UDAIPUR MAHILA URBAN COOP BANK LTD,48430,0.0020,1,1,0
398,CUL,THE CHIPLUN URBAN COOPERATIVE BANK LTD,48384,0.0020,1,1,0
399,DAM,THE DAHOD MERCANTILE CO-OP BANK LTD,46804,0.0000,0,0,0
400,DCC,IDFC Bank Credit Card,46796,0.0000,0,0,0
401,CGR,Chhattisgarh Rajya Sahakari Bank Mydt,46511,0.0000,0,0,0
402,NBT,The Navnirman Co-Operative Bank Ltd,46123,0.0020,1,1,0
403,KTK,THE KAKATIYA CO-OPERATIVE URBAN BANK LTD,45948,0.0000,0,0,0
404,LUL,LAXMI URBANCOOP BANK LTD LATUR,45888,0.0000,0,0,0
405,TMK,The Commercial Co operative Bank Ltd Kolhapur,45355,0.0000,0,0,0
406,GSN,Guardian Souharda Sahakari Bank Niyamita,44563,0.0000,0,0,0
407,KNK,Kankaria Maninagar Nagarik Sahakari Bank Ltd,44451,0.0000,0,0,0
408,SDN,SHRI ADINATH CO OP BANK LTD,44431,0.0000,0,0,0
409,SVD,THE SARVODAYA SAHAKARI BANK LTD,43934,0.0000,0,0,0
410,HFB,HFB,43788,0.0020,1,0,1
411,RVK,Raje Vikramsinh Ghatage Co-operative Bank Ltd Kagal,43305,0.0050,2,2,0
