Sr_No,Code,Beneficiary_Bank,Total_Txns,CB_Ratio_Pct,CB_Received,Representment_Raised,CB_Accepted
583,VGL,Vakrangee Ltd,8760,0.0000,0,0,0
584,MUO,The Muvattupuzha Urban Co-operative Bank,8614,0.0000,0,0,0
585,IKC,Ilkal Co-Operative Bank Ltd,8559,0.0000,0,0,0
586,TTB,Textile Traders Co-operative Bank Limited,8432,0.0120,1,0,1
587,BRD,The Bardoli Nagrik Sahakari bank Ltd,8403,0.0000,0,0,0
588,AMS,THE AMBIKA MAHILA SAHAKARI BANK LTD AHMEDNAGAR,8390,0.0000,0,0,0
589,VPC,The Veraval peoples Coop Bank Ltd,8337,0.0000,0,0,0
590,SHL,SHL,8312,0.0000,0,0,0
591,DUL,The Davangere Urban co op Bank ltd,8274,0.0000,0,0,0
592,BSL,THE Bavla Nagrik Sahakari Bank Ltd,8138,0.0000,0,0,0
593,NVS,NAVSARJAN INDUSTRIAL CO OPERATIVE BANK LTD,8112,0.0000,0,0,0
594,NPB,The Nadiad Peoples Co Op Bank Ltd,8030,0.0000,0,0,0
595,GUC,Godavari Urban Co-Operative Bank Ltd Nashik,7976,0.0000,0,0,0
596,BOA,Bank Of America NA,7970,0.0000,0,0,0
597,VSB,Vyapari Sahakari Bank Maryadit Solapur,7915,0.0000,0,0,0
598,REC,The Railway Employees Cooperative Bank Ltd,7889,0.0000,0,0,0
599,RNJ,The Ranuj Nagrik Sahakari Bank Ltd,7877,0.0000,0,0,0
600,SMR,SAMRUDDHI COOPERATIVE BANK LTD NAGPUR,7706,0.0000,0,0,0
601,SCN,SHRI CHHANI NAGRIK SAHKARI BANK LTD,7671,0.0000,0,0,0
602,RUM,THE RAIPUR URBAN MERCANTILE CO OP BANK LTD,7255,0.0000,0,0,0
603,UBC,Union Bank Credit Card,7209,0.0000,0,0,0
604,TMM,TMM,7189,0.0000,0,0,0
605,SRL,Shri Rukmini Sahakari Bank Ltd,7165,0.0000,0,0,0
606,VIR,VIKRAMADITYA NAGRIK SAHAKARI BANK,7052,0.0000,0,0,0
607,LPC,The Lunawada peoples Cooperative Bank Ltd,7014,0.0000,0,0,0
608,SSE,Sri Seetharaghava souharda Sahakara Bank Niyamitha,6966,0.0140,1,0,1
609,MCT,MOTI URBAN CO-OPERATIVE BANK LTD TALODA,6953,0.0000,0,0,0
610,CMS,CHAITANYA MAHILA SAHAKARI BANK LTD VIJAYAPUR,6933,0.0000,0,0,0
611,SHV,Shree Vardhaman Sahakari Bank Ltd,6917,0.0000,0,0,0
612,YNS,Yeshwant Nagari Sahakari Bank Ltd,6889,0.0000,0,0,0
613,SGS,SRI GANAPATHI URBAN CO OP BANK LTD,6858,0.0000,0,0,0
614,KHC,Khardah Cooperative Bank Ltd,6503,0.0000,0,0,0
615,BKO,Balitikuri Co-Operative Bank Ltd,6452,0.0000,0,0,0
616,UUC,THE UMRETH URBAN CO OPERATIVE BANK LTD,6242,0.0000,0,0,0
617,MMM,MAHILA NAGRIK SAHAKARI BANK MARYADIT MAHASAMUND,6141,0.0000,0,0,0
618,SDT,SHRI D T PATIL CO-OPERATIVE BANK LTD CHIKODI,6133,0.0000,0,0,0
619,DSN,Daivadnya Sahakara Bank Niyamit,6017,0.0000,0,0,0
620,NML,Nandurbar Merchants Co-operative Bank Ltd,5966,0.0000,0,0,0
621,FBC,Federal Bank Credit Card FBC,5804,0.0000,0,0,0
622,MIE,THE MAKARPURA INDUSTRIAL ESTATE COOP BANK LTD,5782,0.0000,0,0,0
623,SBR,Shree Basaveshwar Urban Co operative Bank Ltd,5770,0.0000,0,0,0
624,CMC,The Chandwad Merchants Co-operative Bank Ltd,5737,0.0000,0,0,0
625,NJC,NJC,5720,0.0170,1,0,1
626,APT,Appnit Technologies Private Limited,5668,0.0000,0,0,0
627,SSO,Saraswat Co-operative Bank Credit Card,5470,0.0000,0,0,0
628,HUB,Hadagali Urban Co-operative Bank Limited Hadagali,5433,0.0000,0,0,0
629,SHR,Sri Rama Co-Operative Bank Limited,5432,0.0000,0,0,0
630,ANN,Shri Anand Nagari Sahakari Bank Limited,5431,0.0000,0,0,0
631,VYA,VYAVSAYIK SAHKARI BANK LTD,5389,0.0000,0,0,0
632,MMA,The Maharashtra Mantralaya Co operative Bank Ltd,5330,0.0000,0,0,0
633,SBF,SBF,5314,0.0190,1,1,0
634,AMR,AMRELI NAGARIK SAHAKARI BANK LTD,5191,0.0000,0,0,0
635,GUJ,GUJARAT AMBUJA CO OPERATIVE BANK LTD,5030,0.0000,0,0,0
636,KOT,KOT,4964,0.0000,0,0,0
637,NRP,NORTHERN RAILWAY PRIMARY COOPERATIVE BANK,4946,0.0200,1,1,0
638,DUR,DUR,4894,0.0000,0,0,0
639,TGM,The Grain Merchants Co-operative Bank Ltd,4744,0.0000,0,0,0
640,BNB,Betul Nagrik Sahakari Bank Mydt,4693,0.0000,0,0,0
641,SUC,Shriram Urban Co-operative Bank Ltd,4633,0.0000,0,0,0
642,MSC,M S Co-Operative Bank Limited,4470,0.0000,0,0,0
643,IOC,IOC,4361,0.0000,0,0,0
644,YBP,YES BANK PPI,4128,0.0000,0,0,0
645,UNB,UNJHA NAGARIK SAHAKARI BANK LTD,3956,0.0000,0,0,0
646,ASC,AU Small Finance Bank Credit Card,3862,0.0000,0,0,0
647,DMS,SHRI DURGADEVI MAHILA SAHAKARI BANK NIYAMITH,3857,0.0000,0,0,0
648,SLK,SHRI LAXMIKRUPA URBAN CO OPERATIVE BANK LTD PUNE,3673,0.0000,0,0,0
649,PNM,THE PANCHSHEEL MERCANTILE CO-OP BANK LTD,3635,0.0000,0,0,0
650,PAA,The Pioneer Urban Co-Operative Bank Ltd,3631,0.0000,0,0,0
651,ICM,INDORE CLOTH MARKET CO OPERATIVE BANK LTD,3580,0.0000,0,0,0
652,AMA,Aman Sahakari Bank Ltd,3187,0.0000,0,0,0
653,ARR,THE AP RAJARAJESWARI MAHILA CO OP URBAN BANK LTD,2968,0.0000,0,0,0
654,NSB,NYAYAMITRA SAHAKARI BANK NIYAMITA,2930,0.0000,0,0,0
655,TCO,Teachers Co Operative Bank Ltd,2924,0.0000,0,0,0
656,SBE,THE SANTRAMPUR URBAN CO OP BANK LTD,2924,0.0000,0,0,0
657,RPC,The Rander Peoples Coop Bank Ltd,2831,0.0350,1,1,0
658,RBC,RBL Bank Limited Credit Card,2789,0.1080,3,0,3
659,MLC,THE MERCHANTS LIBERAL COOPERATIVE BANK LTD GADAG,2743,0.0000,0,0,0
660,AUL,The Ankola Urban CoOperative Bank Ltd,2722,0.0000,0,0,0
661,SBA,SBM BANK INDIA LIMITED SBA,2685,0.0000,0,0,0
662,MBT,MERCHANTS CO OPERATIVE BANK LTD TIPTUR,2528,0.0000,0,0,0
663,UCB,UMA CO OPERATIVE BANK LTD,2522,0.0000,0,0,0
664,GCC,The Godhra City Co-operative Bank Ltd,2514,0.0000,0,0,0
665,YLN,The Yadagiri Lakshmi Narasimha Swamy Co-Op Urban Bank Ltd,2461,0.0000,0,0,0
666,SOB,The Sarangpur Co-Operative Bank Ltd,2439,0.0000,0,0,0
667,MUL,MUL,2043,0.0490,1,0,1
668,PDU,Peoples Co-operative Bank Ltd Dholka,1994,0.0000,0,0,0
669,SMA,Smart Payment Solutions Pvt Ltd,1824,0.0000,0,0,0
670,MMS,The Mumbai Mahanagarpalika Shikshan Vibhag Sahakari Bank Ltd,1802,0.0000,0,0,0
671,ACE,ACE Cooperative Bank Ltd,1689,0.0000,0,0,0
672,UMP,Unimoni Financial Service Pvt Ltd,1632,0.0000,0,0,0
673,AGB,Agroha Cooperative Urban Bank Ltd,1589,0.0630,1,0,1
674,GSB,GSB,1586,0.0000,0,0,0
675,PSS,Prathamik Shikshak Sahakari Bank Ltd Satara,1535,0.0000,0,0,0
676,STC,STC,1432,0.0000,0,0,0
677,VAB,Vyaparik Audhyogik Sahakari Bank ltd,1427,0.0000,0,0,0
678,KTL,Karnataka Bank Ltd Credit Line,1348,0.0000,0,0,0
679,BAS,BASODA NAGRIK SAHKARI BANK LTD,1333,0.0000,0,0,0
680,LEC,LIC Employees Co-operative Bank Ltd,1328,0.0750,1,1,0
681,STS,STS,1316,0.0000,0,0,0
682,KML,Krishna Mercantile Co-op Bank Ltd,1235,0.0000,0,0,0
683,BOJ,BOJ,1217,0.0000,0,0,0
684,IBC,Indian Bank Credit Card,1141,0.0000,0,0,0
685,AZA,The Azad Coop Bank Ltd Gadag,1085,0.0000,0,0,0
686,DVS,DHULE VIKAS SAHAKARI BANK LTD,1023,0.0980,1,0,1
687,SHA,SHA,1002,0.0000,0,0,0
688,EBI,EBIX PAYMENT SERVICES PRIVATE LIMITED,906,0.0000,0,0,0
689,UTS,THE UTTARSANDA PEOPLES COOP BANK LTD,862,0.0000,0,0,0
690,NIB,NIB,784,0.0000,0,0,0
691,SNL,SNL,760,0.0000,0,0,0
692,DBK,DEVELOPMENT CO OPERATIVE BANK LTD KANPUR,745,0.0000,0,0,0
693,IBD,Indian Bank CC,714,0.0000,0,0,0
694,RBE,RESERVE BANK EMPLOYEES COOPERATIVE BANK LIMITED,670,0.0000,0,0,0
695,SHN,Shramik Nagrik Sahkari Bank Ltd,668,0.0000,0,0,0
696,ECU,ECU,661,0.0000,0,0,0
697,NID,NID,571,0.0000,0,0,0
698,ITB,ITB,504,0.0000,0,0,0
699,AMM,Astha Mahila Nagrik Sahakari Bank Maryadit,494,0.0000,0,0,0
700,OBP,OBOPAY MOBILE TECHNOLOGY INDIA PVT LTD,490,0.0000,0,0,0
701,BCL,Bank of Baroda Credit Line,483,0.0000,0,0,0
702,UCC,City Union Bank Limited Credit Card,355,0.0000,0,0,0
703,PPP,PAYU PAYMENTS PRIVATE LIMITED,281,0.0000,0,0,0
704,UBL,City Union Bank Limited Credit Line,244,0.0000,0,0,0
705,HML,HML,229,0.0000,0,0,0
706,MPF,MobilePe Fintech Private Limited,185,0.0000,0,0,0
707,KCL,KCL,183,0.0000,0,0,0
708,FPL,FPL,181,0.0000,0,0,0
709,TGC,TGC,138,0.0000,0,0,0
710,CBN,CBN,111,0.0000,0,0,0
711,PLP,PINE LABS PRIVATE LIMITED,111,0.0000,0,0,0
712,AXP,Axis Bank Freecharge,87,0.0000,0,0,0
713,ARM,510 Army Base WS Credit Coop Primary Bank Ltd,64,0.0000,0,0,0
714,TCL,TCL,59,0.0000,0,0,0
715,FBB,FBB,58,0.0000,0,0,0
716,DTP,DTP,56,0.0000,0,0,0
717,PFP,Paul Merchants Finance Private Limited,56,0.0000,0,0,0
718,HCL,HDFC Bank Credit Line HCL,51,0.0000,0,0,0
719,NPC,NPC,45,4.4440,2,0,2
720,OTM,OTM,38,0.0000,0,0,0
721,CRL,CRL,38,0.0000,0,0,0
722,TCN,TCN,35,0.0000,0,0,0
723,SBS,State Bank of India Application,34,0.0000,0,0,0
724,TRA,Transaction Analysts India Pvt Ltd,32,0.0000,0,0,0
725,AUC,ARIHANT URBAN COOPERATIVE BANK LTD,27,0.0000,0,0,0
726,IBA,Indian Bank Credit Line,26,0.0000,0,0,0
727,HDS,HDFC Secondary Market Org,21,0.0000,0,0,0
728,ESF,ESAF SMALL FINANCE BANK LIMITED Credit Card,16,0.0000,0,0,0
729,SUA,SUA,13,0.0000,0,0,0
730,BMI,BANK OF MAURITIUS,11,0.0000,0,0,0
731,EZE,DCB Bank Ezetap,8,0.0000,0,0,0
732,NEH,NEH,8,0.0000,0,0,0
733,HCA,HDFC Bank Credit Card,5,0.0000,0,0,0
734,ICP,Phone Pe ICICI,5,0.0000,0,0,0
735,YSC,YSC,4,0.0000,0,0,0
736,ICB,ICICI UPI CBDC,3,0.0000,0,0,0
737,HCN,HDFC Bank Credit Line HCN,2,0.0000,0,0,0
738,TML,Tamilnad Mercantile Bank Limited TML,1,0.0000,0,0,0
739,FSF,AU Small Finance Bank Erstwhile Fincare,1,0.0000,0,0,0
740,HCM,HDFC Bank Credit Line HCM,1,0.0000,0,0,0
741,CCU,CCU,1,0.0000,0,0,0
742,FIN,FINO PAYMENTS BANK,1,0.0000,0,0,0
743,GPI,GIPL Slice,1,0.0000,0,0,0
744,HNM,HDFC Bank New Mobile,1,0.0000,0,0,0
745,YBJ,YES BANK JUSPAY YBJ,1,0.0000,0,0,0
746,HCO,HDFC Bank Credit Line HCO,1,0.0000,0,0,0
747,AXT,AXIS BANK OCL,1,0.0000,0,0,0
748,FFI,Federal Bank Ltd Fi,1,0.0000,0,0,0
